                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0344,                 3.9201,                  1.818,                 0.3795,                 0.2974,                0.28197,                0.12887,                 2.0724,                 2.7016,                 1.9561,             0.00023713,             0.00023713,             0.00023713
                      2,                 1.9508,                 2.3239,                 1.7489,                0.32229,                0.34123,                0.29774,                0.12686,                 2.1216,                 2.4884,                 1.9525,             0.00046572,             0.00046572,             0.00046572
                      3,                 1.9389,                 2.2349,                 1.7398,                0.34299,                0.35891,                0.32698,                0.14832,                 2.0718,                 2.4047,                 1.9838,             0.00068489,             0.00068489,             0.00068489
                      4,                 1.8949,                 2.1497,                 1.7002,                 0.4653,                0.38249,                0.39928,                0.18475,                  1.981,                 2.1223,                 1.7811,             0.00067159,             0.00067159,             0.00067159
                      5,                 1.8813,                 2.1242,                 1.6925,                0.46584,                 0.4278,                0.42462,                0.19895,                 1.9286,                 2.0284,                 1.7965,             0.00067159,             0.00067159,             0.00067159
                      6,                 1.8503,                 2.0312,                 1.6574,                0.44868,                0.42067,                 0.4091,                0.19346,                 1.9391,                 2.0253,                 1.7847,             0.00065745,             0.00065745,             0.00065745
                      7,                  1.828,                 1.9828,                  1.643,                0.46661,                0.43276,                0.42346,                0.20392,                 1.8883,                 1.9958,                 1.7708,             0.00064331,             0.00064331,             0.00064331
                      8,                 1.8097,                  1.959,                 1.6348,                0.47426,                0.44436,                0.44865,                0.21225,                 1.9026,                 1.9557,                 1.7596,             0.00062918,             0.00062918,             0.00062918
                      9,                  1.789,                  1.927,                 1.6184,                0.52743,                0.46521,                0.47484,                  0.233,                 1.8491,                 1.8625,                 1.7179,             0.00061504,             0.00061504,             0.00061504
                     10,                  1.783,                 1.8925,                 1.6092,                0.49268,                0.48889,                0.48509,                0.23598,                 1.8376,                 1.8439,                  1.707,              0.0006009,              0.0006009,              0.0006009
                     11,                 1.7727,                 1.8719,                 1.5999,                0.46933,                 0.4807,                0.46708,                0.22152,                 1.8777,                 1.8968,                 1.7346,             0.00058677,             0.00058677,             0.00058677
                     12,                 1.7565,                 1.8425,                 1.5889,                0.50577,                0.50677,                0.50468,                0.24421,                 1.8427,                 1.8159,                 1.6898,             0.00057263,             0.00057263,             0.00057263
                     13,                 1.7473,                 1.8123,                 1.5741,                0.54483,                0.50199,                0.51397,                0.24887,                 1.8171,                 1.7897,                 1.6836,             0.00055849,             0.00055849,             0.00055849
                     14,                 1.7412,                 1.7924,                 1.5729,                0.51585,                0.48965,                0.48555,                0.22751,                 1.8748,                 1.8154,                 1.6928,             0.00054435,             0.00054435,             0.00054435
                     15,                 1.7265,                  1.778,                 1.5635,                0.52855,                0.50046,                 0.5016,                0.24297,                 1.8368,                  1.783,                 1.6697,             0.00053022,             0.00053022,             0.00053022
                     16,                 1.7262,                 1.7585,                 1.5543,                 0.5208,                0.49797,                 0.5089,                 0.2484,                 1.8272,                 1.7617,                 1.6818,             0.00051608,             0.00051608,             0.00051608
                     17,                 1.7132,                 1.7183,                 1.5411,                0.55608,                0.49924,                0.52031,                0.26058,                 1.8027,                 1.7387,                 1.6594,             0.00050194,             0.00050194,             0.00050194
                     18,                 1.7048,                  1.716,                  1.537,                0.57818,                0.50731,                0.53523,                0.25974,                 1.8176,                 1.6972,                 1.6669,              0.0004878,              0.0004878,              0.0004878
                     19,                 1.6943,                 1.7034,                 1.5257,                0.58136,                0.52407,                0.54422,                0.26449,                 1.8342,                 1.6973,                 1.6723,             0.00047367,             0.00047367,             0.00047367
                     20,                 1.6915,                 1.6689,                 1.5347,                0.59372,                0.52319,                0.55356,                0.27169,                 1.8084,                 1.6592,                 1.6776,             0.00045953,             0.00045953,             0.00045953
                     21,                 1.6789,                 1.6517,                 1.5204,                0.57949,                0.52766,                0.55607,                 0.2677,                 1.7954,                 1.6706,                 1.6425,             0.00044539,             0.00044539,             0.00044539
                     22,                 1.6769,                  1.632,                 1.5168,                0.56389,                0.54055,                0.55527,                0.27384,                 1.8032,                 1.6273,                 1.6566,             0.00043126,             0.00043126,             0.00043126
                     23,                 1.6505,                 1.6141,                 1.4981,                 0.5888,                0.53851,                0.55901,                0.27774,                 1.7968,                  1.638,                 1.6343,             0.00041712,             0.00041712,             0.00041712
                     24,                 1.6566,                 1.5949,                 1.5012,                0.57975,                0.54824,                0.56396,                0.27955,                   1.79,                 1.6234,                 1.6385,             0.00040298,             0.00040298,             0.00040298
                     25,                 1.6468,                 1.5788,                 1.4969,                0.59247,                0.53935,                0.57347,                0.28532,                 1.7854,                 1.5744,                 1.6422,             0.00038884,             0.00038884,             0.00038884
